Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,12.48688,Build,SmallHouse,17,6,1,1,4000,2750,3,2,1,
1,14.07156,Build,SmallHouse,17,1,1,1,2750,2250,2,1,1,
1,15.43939,Build,SmallHouse,22,6,1,1,2250,1750,1,0,1,
2,21.991,Build,SmallHouse,22,1,1,1,1750,2002,3,2,1,
2,24.86011,Build,SmallHouse,5,14,1,1,2002,1502,2,1,1,
2,28.79677,Build,SmallHouse,11,14,1,1,1502,1002,1,0,1,
3,38.55118,Build,SmallHouse,28,6,1,1,1002,2006,3,2,1,
3,40.11917,Build,SmallHouse,28,1,1,1,2006,1506,2,1,1,
4,62.43275,Build,SmallHouse,21,10,1,1,1506,2328,3,3,0,No road access for building
4,63.33352,Build,SmallHouse,22,10,1,1,2328,1828,3,2,1,
4,64.9015,Build,SmallHouse,28,10,1,1,1828,1328,2,1,1,
4,71.02337,Build,SmallHouse,22,14,1,1,1328,728,1,0,1,
