Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,30.09956,Build,SmallHouse,18,6,1,1,4000,2750,3,2,1,
1,34.16651,Build,SmallHouse,18,1,1,1,2750,2250,2,1,1,
1,36.00037,Build,SmallHouse,23,6,1,1,2250,1750,1,0,1,
2,88.66393,Build,Supply,23,0,1,1,1750,1702,3,2,1,
2,92.98071,Build,SmallHouse,28,6,1,1,1702,652,2,1,1,
2,94.58026,Build,SmallHouse,28,1,1,1,652,152,1,0,1,
3,99.49709,Upgrade,SmallHouse,28,6,2,2,152,1682,3,3,1,
3,109.0968,Build,SmallHouse,33,6,1,1,1682,1182,3,2,1,
3,111.5462,Build,SmallHouse,33,1,1,1,1182,682,2,1,1,
3,116.8695,Build,SmallHouse,18,10,1,1,682,282,1,1,0,Not enough gold
3,118.2363,Build,SmallHouse,18,11,1,1,282,282,1,1,0,Not enough gold
4,152.1874,Build,Factory,1,15,1,1,282,244,3,1,1,
4,155.6536,Build,SmallHouse,11,14,1,1,244,244,1,1,0,Not enough gold
5,161.2873,Build,Supply,11,15,1,1,244,1106,4,3,1,
5,163.2034,Build,Supply,11,20,1,1,1106,306,3,2,1,
6,244.6829,Build,Supply,39,6,1,1,306,436,4,3,1,
