Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,4.630226,Build,SmallHouse,18,6,1,1,4000,2750,3,2,1,
1,6.214904,Build,SmallHouse,18,1,1,1,2750,2250,2,1,1,
1,8.249962,Build,Supply,23,0,1,1,2250,1450,1,0,1,
2,19.24895,Build,SmallHouse,23,6,1,1,1450,1685,3,2,1,
2,23.53592,Build,Supply,28,6,1,1,1685,535,2,1,1,
2,25.40417,Build,SmallHouse,28,1,1,1,535,35,1,0,1,
3,32.15989,Build,SmallHouse,33,6,1,1,35,1050,3,2,1,
4,51.89573,Build,SmallHouse,5,14,1,1,1050,1630,3,2,1,
5,85.43305,Build,BigHouse,4,18,1,1,1630,2830,3,3,0,Can't place building at specified location
5,85.98351,Build,BigHouse,3,18,1,1,2830,1630,3,2,1,
5,90.15372,Build,Service,11,14,1,1,1630,830,2,0,1,
