Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,8.840233,Build,SmallHouse,18,6,1,1,4000,2750,3,2,1,
1,10.525,Build,SmallHouse,18,1,1,1,2750,2250,2,1,1,
1,12.19308,Build,SmallHouse,22,6,1,1,2250,2250,1,1,0,Can't place building at specified location
1,12.64346,Build,SmallHouse,23,6,1,1,2250,1750,1,0,1,
2,16.88037,Build,Supply,23,0,1,1,1750,1702,3,2,1,
2,20.88378,Build,Supply,28,6,1,1,1702,452,2,1,1,
2,22.15152,Build,SmallHouse,28,1,1,1,452,452,1,1,0,Not enough gold
2,23.56938,Build,SmallHouse,28,1,1,1,452,452,1,1,0,Not enough gold
2,24.18656,Build,SmallHouse,29,1,1,1,452,452,1,1,0,Not enough gold
3,32.08949,Build,SmallHouse,28,1,1,1,452,1602,3,2,1,
3,34.6917,Build,SmallHouse,5,14,1,1,1602,1102,2,1,1,
3,36.55995,Build,SmallHouse,11,14,1,1,1102,602,1,0,1,
4,64.28606,Build,SmallHouse,33,6,1,1,602,1007,3,2,1,
4,65.85405,Build,SmallHouse,33,1,1,1,1007,507,2,1,1,
4,67.50545,Build,SmallHouse,38,6,1,1,507,7,1,0,1,
5,71.52554,Build,Supply,38,1,1,1,7,767,3,2,1,
5,76.19615,Build,Factory,1,18,1,1,767,767,2,2,0,Not enough gold
5,79.18201,Build,SmallHouse,5,18,1,1,767,267,2,1,1,
