Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,3.66628,Build,SmallHouse,18,6,1,1,4000,2750,3,2,1,
1,5.56674,Build,SmallHouse,18,1,1,1,2750,2250,2,1,1,
1,7.650164,Build,SmallHouse,23,6,1,1,2250,1750,1,0,1,
2,30.33205,Build,SmallHouse,23,1,1,1,1750,2002,3,2,1,
2,33.96489,Build,Supply,5,14,1,1,2002,1202,2,1,1,
2,37.48137,Build,Supply,11,14,1,1,1202,402,1,0,1,
3,41.79885,Build,SmallHouse,5,19,1,1,402,1682,3,2,1,
3,43.7145,Build,SmallHouse,11,19,1,1,1682,1182,2,1,1,
3,50.61437,Build,SmallHouse,29,6,1,1,1182,232,1,0,1,
4,406.4853,Build,SmallHouse,29,1,1,1,232,1062,3,2,1,
4,412.1851,Build,SmallHouse,34,6,1,1,1062,262,2,1,1,
4,438.0344,Build,SmallHouse,35,1,1,1,262,262,1,1,0,Not enough gold
4,438.1997,Build,SmallHouse,35,1,1,1,262,262,1,1,0,Not enough gold
4,438.9008,Build,SmallHouse,34,1,1,1,262,262,1,1,0,Not enough gold
5,442.0672,Build,SmallHouse,34,1,1,1,262,1332,3,2,1,
5,447.0174,Build,SmallHouse,5,23,1,1,1332,832,2,1,1,
5,449.5194,Build,SmallHouse,10,23,1,1,832,332,1,0,1,
